aX,aY,aZ,gX,gY,gZ
-1.043,0.705,0.762,0.061,2.197,1.038
-1.139,0.439,0.628,22.949,-4.517,-44.739
-1.122,0.023,0.627,53.040,-23.071,-111.084
-0.917,-0.540,0.701,79.224,-39.551,-175.232
-0.551,-1.106,0.778,94.849,-38.391,-216.125
-0.044,-1.577,0.794,102.966,-14.771,-222.107
0.559,-1.905,0.779,103.271,18.616,-208.862
1.192,-2.111,0.695,94.482,31.860,-189.575
1.720,-2.165,0.641,83.069,15.991,-161.743
1.940,-2.077,0.591,66.528,-7.385,-120.178
1.704,-1.799,0.503,44.556,-18.860,-62.195
1.052,-1.387,0.438,22.583,-21.057,-1.404
0.186,-0.901,0.491,7.263,-28.076,40.039
-0.573,-0.499,0.606,-1.404,-40.894,48.950
-1.010,-0.247,0.716,-7.507,-55.908,29.053
-1.061,-0.187,0.780,-8.606,-64.880,-2.625
-0.829,-0.287,0.788,-4.089,-60.303,-30.090
-0.467,-0.461,0.767,4.150,-47.607,-46.875
-0.120,-0.632,0.752,10.864,-35.400,-52.795
0.111,-0.766,0.749,13.123,-27.344,-48.340
0.206,-0.853,0.761,11.658,-21.484,-35.950
0.183,-0.883,0.793,9.766,-15.930,-19.165
0.083,-0.856,0.817,7.446,-9.644,-3.540
-0.036,-0.797,0.811,4.028,-5.432,7.385
-0.131,-0.734,0.787,-0.488,-4.272,12.268
-0.200,-0.685,0.766,-4.150,-4.639,13.123
-0.229,-0.648,0.748,-6.958,-4.822,11.353
-0.218,-0.633,0.747,-8.179,-4.578,8.423
-0.189,-0.645,0.770,-8.240,-4.333,6.104
-0.151,-0.665,0.805,-6.836,-2.136,5.737
-0.114,-0.691,0.838,-5.371,2.563,6.958
-0.082,-0.709,0.857,-3.723,8.179,9.277
-0.057,-0.723,0.878,-2.747,12.390,12.146
-0.052,-0.728,0.891,-2.869,15.442,14.832
-0.057,-0.717,0.890,-4.456,17.578,17.090
-0.070,-0.687,0.871,-5.981,18.616,18.799
-0.079,-0.675,0.846,-6.958,17.761,18.860
-0.063,-0.675,0.835,-7.019,13.550,16.968
-0.027,-0.700,0.826,-7.812,7.568,13.611
0.019,-0.733,0.822,-8.484,2.441,11.658
0.059,-0.766,0.826,-8.240,0.366,12.146
0.087,-0.793,0.834,-8.240,0.305,13.916
0.097,-0.804,0.826,-9.277,0.061,16.968
0.102,-0.802,0.818,-10.071,-0.977,20.386
0.084,-0.797,0.821,-10.864,-2.625,23.804
0.062,-0.784,0.827,-12.085,-4.150,26.428
0.041,-0.775,0.836,-12.878,-4.150,27.954
0.025,-0.765,0.845,-13.428,-2.686,29.480
0.014,-0.757,0.847,-14.221,0.183,31.128
0.002,-0.743,0.845,-14.893,4.639,33.264
-0.011,-0.730,0.841,-15.442,9.460,35.217
-0.015,-0.719,0.821,-15.869,14.648,36.743
-0.004,-0.689,0.789,-14.343,18.799,39.063
-0.017,-0.647,0.774,-11.658,20.142,43.213
-0.047,-0.609,0.770,-9.216,19.409,46.265
-0.055,-0.571,0.758,-8.484,17.639,45.227
-0.061,-0.541,0.750,-9.521,12.390,42.664
-0.068,-0.521,0.752,-12.207,3.235,37.842
-0.060,-0.511,0.755,-15.564,-6.531,30.518
