aX,aY,aZ,gX,gY,gZ
0.382,0.527,-1.028,283.630,-155.273,-37.415
0.373,0.392,-0.760,287.354,-176.392,-61.279
0.360,0.253,-0.452,287.292,-201.111,-83.435
0.359,0.108,-0.121,280.273,-223.389,-101.074
0.406,0.011,0.129,265.808,-240.173,-112.427
0.463,-0.017,0.296,245.605,-246.704,-111.389
0.490,-0.038,0.375,227.722,-242.737,-100.464
0.477,-0.068,0.422,216.797,-233.215,-81.421
0.420,-0.119,0.523,218.811,-222.168,-59.387
0.311,-0.249,0.670,229.736,-210.510,-39.124
0.134,-0.431,0.914,244.629,-200.134,-23.804
-0.114,-0.720,1.256,260.315,-191.467,-15.381
-0.460,-1.099,1.681,270.752,-184.875,-17.456
-0.818,-1.615,2.268,272.095,-177.551,-31.921
-1.181,-2.199,3.012,257.935,-170.837,-54.565
-1.274,-2.684,3.736,225.037,-154.236,-76.111
-1.115,-2.892,4.000,176.392,-118.530,-91.309
-0.631,-2.402,3.778,62.744,-76.050,-79.407
-0.235,-1.705,2.718,-94.727,-33.142,-39.368
0.088,-0.887,1.461,-191.956,10.925,7.019
0.384,-0.163,0.467,-210.144,47.119,46.997
0.657,0.519,-0.136,-173.645,63.293,67.444
0.896,1.107,-0.480,-127.869,60.486,64.758
1.036,1.494,-0.685,-92.957,42.236,45.715
1.080,1.666,-0.760,-62.683,17.090,19.348
1.045,1.632,-0.633,-26.123,-5.676,-6.226
0.944,1.435,-0.314,13.794,-23.071,-25.635
0.801,1.159,0.096,48.645,-35.828,-37.781
0.648,0.832,0.497,71.472,-44.922,-45.044
0.509,0.497,0.835,82.031,-48.767,-47.913
0.398,0.193,1.106,82.336,-48.157,-45.837
0.313,-0.045,1.285,73.120,-43.945,-40.222
0.265,-0.207,1.358,58.350,-37.781,-31.738
0.248,-0.294,1.354,41.565,-30.151,-23.254
0.270,-0.312,1.297,26.917,-21.790,-16.174
0.328,-0.261,1.197,13.184,-14.954,-11.292
0.389,-0.179,1.071,0.549,-9.644,-8.423
0.469,-0.072,0.950,-7.507,-5.676,-6.042
0.527,0.036,0.851,-11.902,-2.563,-3.845
0.560,0.139,0.780,-13.794,-0.244,-1.404
0.585,0.240,0.721,-14.587,1.343,1.709
0.597,0.347,0.651,-14.404,1.160,4.028
0.584,0.424,0.585,-13.123,0.427,5.066
0.555,0.459,0.569,-7.629,0.122,4.089
0.540,0.473,0.600,1.099,-0.488,2.625
0.510,0.461,0.649,7.385,-0.916,0.854
0.483,0.425,0.694,11.536,-1.404,-1.770
0.465,0.384,0.738,15.076,-0.732,-3.845
0.459,0.343,0.771,16.907,0.671,-5.676
0.467,0.312,0.795,16.479,2.380,-7.507
0.479,0.282,0.811,14.893,3.479,-7.202
0.490,0.258,0.824,12.634,3.906,-6.165
