aX,aY,aZ,gX,gY,gZ
0.644,0.193,0.346,-94.788,97.046,19.714
0.671,0.174,0.357,-100.098,94.910,10.498
0.703,0.148,0.356,-107.544,94.360,5.005
0.730,0.136,0.313,-112.976,96.191,4.944
0.750,0.166,0.249,-114.075,99.915,11.230
0.755,0.205,0.204,-111.145,105.042,20.142
0.743,0.230,0.159,-107.849,109.131,27.222
0.746,0.280,0.138,-105.774,110.474,31.128
0.739,0.278,0.145,-105.469,109.802,29.846
0.735,0.286,0.155,-108.093,107.178,24.353
0.750,0.277,0.160,-114.746,102.966,15.930
0.782,0.236,0.143,-123.291,98.511,6.470
0.845,0.270,0.097,-131.714,96.436,3.296
0.863,0.245,-0.019,-135.681,98.694,8.362
0.886,0.347,-0.116,-126.404,104.980,24.109
0.841,0.358,-0.168,-114.807,112.549,37.781
0.804,0.403,-0.191,-108.398,115.356,45.532
0.777,0.416,-0.201,-107.666,111.511,42.419
0.774,0.413,-0.209,-111.511,103.149,30.579
0.789,0.380,-0.217,-118.164,92.590,16.052
0.834,0.361,-0.263,-123.535,84.839,4.089
0.866,0.367,-0.323,-121.399,83.374,0.916
0.882,0.398,-0.375,-111.938,87.219,8.728
0.876,0.437,-0.431,-102.234,93.323,19.897
0.826,0.448,-0.443,-96.497,96.375,26.917
0.812,0.464,-0.465,-93.018,94.360,28.625
0.806,0.474,-0.473,-93.201,87.341,23.376
0.817,0.449,-0.464,-95.886,79.163,14.038
0.841,0.426,-0.470,-98.267,71.289,6.165
0.847,0.417,-0.474,-97.229,67.932,3.662
0.865,0.419,-0.463,-89.233,68.054,6.592
0.878,0.410,-0.473,-85.327,69.885,10.681
0.843,0.410,-0.493,-83.679,70.984,15.381
0.831,0.413,-0.536,-81.238,71.228,18.066
0.813,0.426,-0.570,-78.491,68.481,17.700
0.800,0.443,-0.606,-77.942,63.049,14.954
0.807,0.475,-0.633,-74.219,58.411,10.498
0.800,0.485,-0.643,-67.993,55.725,7.324
0.791,0.490,-0.644,-62.439,54.260,6.287
0.788,0.487,-0.644,-58.716,52.002,4.333
0.795,0.479,-0.637,-56.824,47.363,-0.244
0.809,0.459,-0.621,-55.908,41.687,-5.371
0.827,0.431,-0.610,-54.260,37.292,-9.705
0.841,0.404,-0.594,-51.331,35.339,-11.780
0.849,0.391,-0.586,-46.875,35.095,-11.292
0.853,0.381,-0.591,-43.274,35.156,-8.850
0.856,0.391,-0.610,-40.894,34.973,-6.470
0.864,0.407,-0.634,-38.330,34.119,-4.822
0.867,0.414,-0.645,-35.706,31.982,-4.395
0.865,0.404,-0.645,-33.081,28.931,-5.737
0.869,0.397,-0.650,-30.273,25.635,-7.507
0.874,0.400,-0.666,-28.076,22.827,-8.423
0.889,0.400,-0.688,-25.940,20.264,-9.277
0.906,0.389,-0.707,-22.888,17.212,-10.193
0.928,0.391,-0.741,-18.860,13.489,-9.827
0.938,0.384,-0.768,-13.489,10.376,-7.935
0.948,0.386,-0.794,-7.507,8.301,-5.005
0.954,0.390,-0.817,-1.038,5.371,-2.258
0.940,0.403,-0.850,4.028,1.282,0.366
0.925,0.410,-0.889,9.827,-3.418,2.441
0.916,0.407,-0.905,18.005,-8.362,3.235
0.908,0.401,-0.893,26.550,-14.099,3.540
0.898,0.394,-0.878,34.546,-18.982,4.700
0.884,0.395,-0.859,41.748,-23.071,6.470
0.880,0.391,-0.826,49.011,-26.367,8.972
0.871,0.395,-0.797,54.871,-29.297,11.414

-1.583,-2.535,2.071,220.093,-236.389,-50.964
-2.617,-3.917,3.033,239.746,-202.881,-43.396
-2.960,-4.000,4.000,263.916,-152.405,-65.979
-2.301,-4.000,4.000,240.417,-83.130,-94.421
-1.402,-4.000,4.000,31.006,-31.799,-91.492
-0.868,-3.171,3.635,-277.405,2.258,-55.115
-0.450,-1.795,1.529,-483.826,50.110,-4.272
-0.017,-0.470,-0.461,-509.705,105.408,36.682
0.426,0.608,-1.193,-369.141,111.511,68.054
0.822,1.258,-1.213,-206.787,121.155,84.900
1.026,1.753,-0.911,-71.777,104.065,76.965
1.071,1.986,-0.560,-1.587,76.660,62.500
0.974,1.967,-0.356,18.188,52.673,39.917
0.807,1.758,-0.209,23.376,23.621,9.583
0.648,1.424,0.023,33.508,-6.104,-22.339
0.552,1.034,0.352,51.392,-28.076,-50.598
0.463,0.605,0.689,67.566,-40.344,-67.566
0.392,0.240,0.957,76.843,-42.419,-69.336
0.331,-0.066,1.132,76.172,-35.034,-59.937
0.283,-0.288,1.200,70.374,-25.452,-44.739
0.242,-0.461,1.263,62.073,-15.930,-30.640
0.255,-0.555,1.267,49.866,-7.507,-20.020
0.277,-0.584,1.230,35.156,-0.671,-13.184
0.306,-0.608,1.183,16.113,5.371,-10.742
0.342,-0.598,1.120,-0.854,9.888,-9.766
0.379,-0.568,1.065,-14.771,14.771,-8.972
0.420,-0.532,1.032,-26.733,19.958,-8.057
0.438,-0.502,1.021,-36.072,25.513,-5.798
0.445,-0.467,1.027,-41.382,32.043,-2.747
0.448,-0.427,1.041,-44.312,39.856,0.854
0.433,-0.388,1.048,-46.936,47.180,4.944
0.412,-0.352,1.045,-49.988,53.223,9.033
0.399,-0.309,1.050,-52.490,58.533,11.353
0.385,-0.275,1.053,-55.969,62.012,11.719
0.368,-0.241,1.036,-62.500,64.331,10.986
0.343,-0.212,1.004,-70.557,65.857,8.423
0.333,-0.188,0.982,-77.209,67.810,3.784
0.338,-0.171,0.960,-82.886,69.519,-1.038
0.339,-0.162,0.940,-88.257,71.655,-4.211
0.345,-0.143,0.914,-93.018,74.768,-7.141
0.359,-0.119,0.880,-96.375,77.759,-9.583
0.368,-0.101,0.839,-98.938,79.895,-11.658
0.380,-0.082,0.788,-100.159,81.909,-11.963
0.400,-0.045,0.746,-97.412,84.473,-11.292
0.417,-0.004,0.725,-92.712,88.806,-10.498
0.430,0.030,0.717,-89.783,93.201,-8.423
0.447,0.057,0.731,-89.172,96.313,-6.470
0.466,0.088,0.748,-91.919,98.572,-5.310
0.495,0.111,0.756,-98.816,99.976,-4.944
0.518,0.130,0.723,-108.826,100.159,-4.395
0.540,0.148,0.676,-117.676,101.074,-2.930
0.576,0.158,0.624,-123.413,104.492,-0.916
0.603,0.180,0.558,-127.258,108.765,2.930
0.608,0.206,0.501,-129.028,113.220,8.728
0.605,0.229,0.451,-129.089,119.080,13.489
0.612,0.251,0.400,-128.906,122.986,15.015
0.606,0.272,0.350,-127.930,122.498,12.878
0.607,0.293,0.328,-125.122,120.911,8.118
0.621,0.302,0.322,-123.779,120.361,0.671
0.655,0.307,0.305,-127.014,118.408,-6.958
0.695,0.311,0.246,-131.775,117.249,-12.146
0.748,0.309,0.217,-133.179,119.690,-12.207
0.754,0.320,0.175,-132.202,126.038,-6.775
0.771,0.305,0.136,-127.075,130.554,1.526
0.756,0.328,0.115,-123.779,137.146,11.353
0.731,0.331,0.080,-124.756,140.808,16.357
0.699,0.316,0.038,-131.836,139.160,15.381
0.706,0.354,-0.007,-135.803,133.667,8.789
0.755,0.330,0.034,-143.982,125.183,-4.700
0.739,0.304,-0.077,-153.564,121.765,-15.747
0.786,0.302,-0.105,-151.184,120.850,-17.212
0.814,0.320,-0.128,-144.592,122.131,-15.808
0.807,0.304,-0.174,-144.226,125.854,-11.353
0.776,0.295,-0.198,-143.982,129.761,-5.066
0.763,0.293,-0.206,-141.724,131.104,-2.258
0.761,0.279,-0.245,-141.968,127.808,-4.028
0.765,0.263,-0.299,-145.325,122.437,-7.202
0.765,0.279,-0.344,-143.677,116.394,-10.254
0.792,0.280,-0.376,-141.052,109.192,-14.893
0.812,0.270,-0.411,-140.503,103.394,-20.447
0.809,0.255,-0.427,-138.428,101.318,-21.545
0.810,0.235,-0.423,-133.240,100.281,-20.142
0.827,0.254,-0.428,-126.038,99.487,-20.142
0.844,0.264,-0.464,-123.291,101.135,-17.883
0.814,0.242,-0.504,-120.361,105.042,-9.888
0.849,0.276,-0.586,-119.019,110.107,-1.526
0.751,0.172,-0.542,-119.812,108.765,-0.183
0.852,0.278,-0.632,-122.559,106.567,3.540
0.809,0.214,-0.647,-124.756,95.825,-5.859
0.823,0.174,-0.612,-124.634,79.956,-15.808
0.821,0.154,-0.575,-123.718,69.641,-18.433
0.839,0.138,-0.568,-123.474,72.754,-13.611
0.820,0.118,-0.627,-122.742,79.895,-8.911
0.804,0.088,-0.654,-121.033,88.867,-4.517
0.790,0.099,-0.704,-114.258,96.375,0.610
0.779,0.113,-0.734,-108.704,100.342,8.911
0.747,0.118,-0.760,-104.858,99.060,11.108
0.718,0.118,-0.781,-101.746,94.971,9.338
0.710,0.105,-0.787,-101.624,89.355,4.944
0.684,0.085,-0.764,-101.807,82.031,-0.122
0.668,0.065,-0.732,-100.952,77.148,-3.540
0.632,0.036,-0.695,-98.389,75.073,-6.531
0.591,0.014,-0.633,-94.543,74.707,-8.606
0.540,-0.037,-0.576,-93.750,76.477,-8.972
0.504,-0.084,-0.547,-97.290,79.163,-8.667
0.520,-0.117,-0.546,-102.051,80.933,-9.094
0.513,-0.178,-0.622,-111.572,81.299,-9.705
0.561,-0.222,-0.707,-124.634,80.200,-5.798
0.646,-0.261,-0.968,-130.737,78.735,-7.324
0.790,-0.210,-1.216,-125.488,74.097,-8.179
0.903,-0.126,-1.489,-124.573,70.435,-1.343
0.899,0.002,-1.716,-116.943,66.589,11.658
0.877,0.098,-1.846,-92.896,64.819,28.259
0.778,0.227,-1.869,-60.425,62.195,41.626
0.677,0.307,-1.736,-21.057,54.993,46.570
0.622,0.290,-1.463,11.719,43.335,38.147
0.604,0.184,-1.190,25.879,30.334,20.264
0.660,0.111,-0.973,29.663,16.052,3.967
0.709,0.058,-0.823,30.640,3.113,-4.150

-1.800,-2.329,2.175,330.383,-248.108,-9.949
-2.724,-3.688,3.502,345.032,-212.891,-14.343
-3.143,-4.000,4.000,348.083,-155.945,-45.715
-2.130,-4.000,4.000,291.748,-66.162,-66.772
-0.981,-3.486,4.000,24.597,8.423,-79.102
-0.368,-2.417,4.000,-363.525,62.134,-70.679
-0.347,-1.822,2.234,-453.552,22.034,-31.860
-0.109,-1.096,-0.157,-360.413,44.373,7.385
0.165,-0.103,-1.261,-243.652,91.797,32.532
0.622,0.797,-1.474,-142.700,129.944,62.378
0.897,1.346,-1.327,-62.988,127.625,77.393
1.008,1.748,-1.027,-8.118,97.839,67.261
0.997,1.885,-0.808,9.766,69.824,45.410
0.858,1.790,-0.665,7.324,37.659,19.775
0.707,1.551,-0.470,8.667,1.587,-4.761
0.578,1.261,-0.135,22.278,-24.597,-30.151
0.511,0.932,0.274,38.391,-39.307,-49.011
0.430,0.597,0.646,47.302,-44.373,-57.007
0.360,0.270,0.868,48.279,-38.818,-54.688
0.262,0.024,1.104,41.809,-25.391,-44.800
0.247,-0.147,1.286,28.809,-8.789,-33.325
0.235,-0.274,1.317,17.700,-3.052,-22.766
0.250,-0.360,1.357,2.808,1.343,-15.320
0.272,-0.389,1.354,-15.259,10.803,-11.841
0.297,-0.414,1.342,-32.959,19.592,-11.108
0.339,-0.415,1.289,-46.448,25.085,-11.047
0.375,-0.403,1.240,-57.129,30.945,-11.292
0.413,-0.372,1.200,-64.331,39.978,-10.986
0.439,-0.331,1.183,-66.162,47.852,-9.277
0.453,-0.275,1.164,-63.599,53.650,-6.531
0.467,-0.207,1.137,-61.340,60.486,-2.991
0.471,-0.151,1.105,-62.622,66.467,-0.244
0.477,-0.100,1.058,-65.613,70.435,2.319
0.478,-0.049,1.022,-68.176,73.547,4.272
0.484,-0.005,0.986,-71.899,75.806,5.737
0.458,0.014,0.973,-74.158,76.050,5.615
0.446,0.051,0.943,-76.538,76.660,6.042
0.433,0.082,0.911,-79.590,77.026,4.517
0.417,0.107,0.869,-83.496,77.637,-0.305
0.406,0.114,0.836,-87.891,78.186,-5.676
0.411,0.124,0.795,-92.590,77.820,-10.803
0.420,0.133,0.759,-96.619,76.904,-13.794
0.434,0.154,0.736,-101.929,80.139,-14.587
0.451,0.188,0.727,-103.943,84.961,-14.282
0.449,0.215,0.702,-98.877,85.876,-13.000
0.463,0.224,0.705,-96.985,89.966,-10.925
0.468,0.242,0.704,-98.145,93.994,-7.996
0.457,0.271,0.681,-100.098,96.985,-5.310
0.481,0.291,0.682,-104.980,99.915,-3.845
0.485,0.303,0.658,-114.502,101.318,-2.380
0.493,0.307,0.597,-125.549,103.333,-0.610
0.503,0.309,0.532,-134.338,106.750,0.732
0.517,0.326,0.456,-138.184,111.084,1.770
0.537,0.342,0.383,-138.855,117.615,3.601
0.544,0.350,0.336,-139.099,124.695,5.920
0.547,0.366,0.315,-138.489,130.493,6.348
0.536,0.380,0.294,-139.771,133.240,3.967
0.537,0.368,0.261,-145.203,132.202,1.587
0.552,0.356,0.228,-149.719,127.441,-2.502
0.590,0.364,0.183,-147.827,119.812,-9.521
0.632,0.356,0.144,-148.560,115.662,-15.747
0.657,0.348,0.082,-148.071,117.615,-16.785
0.677,0.339,0.050,-145.752,125.061,-13.977
0.689,0.339,0.013,-144.470,133.118,-9.094
0.695,0.341,-0.038,-147.034,139.099,-4.150
0.691,0.341,-0.102,-151.001,142.334,-1.587
0.703,0.326,-0.151,-152.344,141.174,-2.441
0.702,0.327,-0.222,-149.109,137.939,-3.967
0.714,0.323,-0.265,-140.259,136.475,-5.188
0.734,0.324,-0.304,-130.188,136.841,-7.019
0.747,0.333,-0.347,-120.850,138.123,-7.446
0.740,0.343,-0.389,-114.441,140.137,-6.165
0.742,0.351,-0.394,-110.291,139.709,-3.357
0.716,0.354,-0.427,-112.305,136.719,-0.916
0.721,0.360,-0.454,-114.990,130.798,0.732
0.728,0.367,-0.470,-119.507,122.925,0.122
0.730,0.356,-0.495,-127.991,113.831,-0.732
0.719,0.311,-0.554,-135.803,106.445,0.061
0.740,0.318,-0.592,-136.780,100.708,2.686
0.698,0.336,-0.643,-121.887,96.008,6.042
0.741,0.351,-0.743,-114.258,102.966,12.451
0.690,0.362,-0.777,-94.543,98.083,6.592
0.711,0.296,-0.733,-69.885,85.571,14.343
0.698,0.338,-0.741,-75.806,76.294,6.714
0.714,0.348,-0.741,-102.295,84.595,5.676
0.734,0.347,-0.773,-113.647,90.149,4.944
0.737,0.346,-0.800,-114.197,88.867,5.005
0.736,0.330,-0.824,-115.662,87.524,6.104
0.715,0.327,-0.846,-112.488,83.740,3.967
0.713,0.325,-0.855,-106.506,80.322,3.174
0.701,0.327,-0.868,-98.083,73.853,2.563
0.692,0.316,-0.879,-90.942,67.627,1.587
0.688,0.315,-0.888,-86.243,63.171,0.549
0.683,0.297,-0.881,-83.618,61.401,0.732
0.674,0.293,-0.861,-80.750,59.204,-0.305
0.662,0.288,-0.862,-78.674,56.152,-2.014
0.661,0.271,-0.852,-77.026,52.124,-3.418
0.672,0.251,-0.845,-74.524,47.058,-5.371
0.661,0.234,-0.831,-70.251,42.603,-6.775
0.660,0.228,-0.828,-67.932,42.419,-4.822
0.650,0.224,-0.845,-65.674,44.373,-2.441
0.642,0.237,-0.874,-61.462,47.241,0.061
0.635,0.229,-0.888,-58.411,50.476,1.221
0.626,0.220,-0.887,-58.472,51.208,1.160
0.615,0.207,-0.880,-56.641,47.180,0.732
0.612,0.196,-0.875,-55.786,41.260,0.000
0.615,0.193,-0.876,-56.458,35.339,-2.869
0.617,0.193,-0.882,-54.382,32.227,-3.845
0.615,0.189,-0.898,-49.561,32.410,-3.235
0.608,0.194,-0.912,-44.006,33.691,-1.587
0.601,0.193,-0.924,-38.940,33.508,-0.305
0.600,0.188,-0.942,-35.706,31.311,-1.343
0.604,0.180,-0.963,-33.264,28.015,-2.563
0.606,0.179,-0.973,-29.114,24.231,-2.869
0.611,0.174,-0.977,-23.926,20.630,-3.479
0.617,0.174,-0.987,-19.470,17.761,-3.906
0.613,0.178,-0.996,-14.465,15.747,-3.662
0.609,0.177,-0.991,-9.338,13.977,-3.357
0.611,0.179,-0.988,-6.348,11.902,-3.296

-1.942,-1.924,2.213,332.458,-302.795,-37.292
-2.980,-3.283,3.331,345.276,-262.085,-27.893
-3.324,-4.000,4.000,345.093,-191.589,-37.476
-2.793,-4.000,4.000,299.011,-78.308,-59.570
-1.496,-2.964,4.000,136.841,19.226,-53.711
-0.756,-2.499,4.000,-150.085,63.477,-29.907
-0.628,-1.837,2.637,-313.843,53.101,-5.737
-0.315,-1.130,-0.190,-303.650,70.313,1.892
0.150,-0.167,-1.236,-225.159,78.918,3.967
0.808,0.700,-1.362,-131.348,100.220,19.653
1.213,1.298,-1.137,-49.927,104.431,37.903
1.302,1.680,-0.940,-8.362,93.201,56.641
1.163,1.792,-0.885,3.296,80.261,64.514
0.932,1.710,-0.782,9.888,57.495,54.443
0.725,1.505,-0.494,21.484,21.606,30.396
0.572,1.219,-0.092,32.288,-10.315,-1.282
0.473,0.898,0.329,36.133,-32.104,-29.236
0.399,0.568,0.681,32.532,-42.480,-46.875
0.338,0.276,0.943,23.865,-39.551,-52.063
0.288,0.025,1.144,16.296,-29.480,-46.387
0.244,-0.137,1.285,5.676,-15.381,-35.645
0.246,-0.246,1.356,-7.874,0.000,-22.217
0.240,-0.308,1.381,-10.376,5.920,-12.634
0.254,-0.336,1.385,-24.841,17.090,-7.202
0.261,-0.360,1.387,-42.175,26.611,-5.676
0.265,-0.364,1.343,-56.335,33.386,-8.545
0.289,-0.367,1.307,-68.359,40.405,-11.719
0.327,-0.339,1.256,-77.637,48.218,-13.489
0.371,-0.291,1.193,-83.008,56.030,-12.817
0.394,-0.244,1.162,-84.778,65.491,-10.376
0.398,-0.177,1.101,-83.984,74.219,-6.836
0.403,-0.107,1.044,-82.703,82.825,-3.296
0.384,-0.055,1.005,-82.336,89.539,-1.953
0.374,-0.004,0.971,-83.374,94.116,-2.380
0.373,0.039,0.954,-85.815,96.497,-3.967
0.386,0.062,0.908,-89.661,95.825,-7.568
0.384,0.082,0.880,-92.590,93.994,-11.963
0.407,0.098,0.860,-94.788,93.750,-15.381
0.420,0.119,0.863,-95.581,93.689,-18.677
0.425,0.134,0.831,-96.863,95.459,-20.813
0.426,0.148,0.790,-100.037,98.389,-20.569
0.433,0.166,0.749,-105.164,101.624,-18.555
0.451,0.173,0.741,-111.267,104.797,-15.930
0.467,0.216,0.725,-117.798,108.521,-11.902
0.462,0.226,0.685,-123.962,111.389,-8.972
0.457,0.249,0.625,-128.662,114.502,-7.019
0.465,0.277,0.557,-128.052,115.112,-6.042
0.479,0.300,0.502,-127.991,116.760,-6.531
0.481,0.318,0.462,-126.953,119.568,-7.751
0.494,0.324,0.436,-124.634,122.192,-9.827
0.514,0.348,0.412,-123.230,122.620,-11.841
0.533,0.352,0.397,-124.573,123.291,-13.550
0.560,0.365,0.380,-129.639,125.854,-13.550
0.582,0.347,0.360,-136.902,130.066,-12.451
0.599,0.336,0.324,-145.020,134.033,-9.766
0.616,0.337,0.266,-150.513,139.587,-5.676
0.621,0.368,0.201,-153.015,146.851,-0.793
0.596,0.359,0.161,-155.334,151.733,1.343
0.574,0.380,0.099,-157.349,155.212,0.610
0.546,0.388,0.054,-161.621,155.212,-3.174
0.524,0.373,0.009,-168.762,148.865,-9.521
0.543,0.345,-0.035,-178.101,138.062,-18.372
0.590,0.328,-0.114,-186.035,128.357,-28.076
0.637,0.308,-0.188,-189.087,127.380,-31.982
0.695,0.294,-0.268,-183.777,139.099,-27.466
0.699,0.305,-0.350,-174.866,159.851,-15.747
0.676,0.313,-0.381,-170.776,178.894,-1.953
0.614,0.284,-0.337,-166.138,190.308,5.615
0.545,0.263,-0.381,-164.062,184.937,3.906
0.516,0.253,-0.403,-166.565,163.574,-5.920
0.560,0.213,-0.456,-174.744,136.658,-21.790
0.638,0.200,-0.550,-179.565,114.990,-34.912
0.691,0.185,-0.630,-174.866,111.694,-38.086
0.682,0.152,-0.668,-164.795,128.723,-31.311
0.641,0.139,-0.679,-154.175,150.024,-18.372
0.581,0.161,-0.697,-157.959,161.194,-9.460
0.536,0.225,-0.731,-148.987,160.950,0.000
0.552,0.166,-0.800,-150.696,156.677,5.737
0.507,0.087,-0.725,-146.912,125.732,-17.578
0.562,0.091,-0.754,-134.521,92.346,-19.470
0.558,0.047,-0.754,-155.640,88.501,-21.240
0.544,-0.001,-0.750,-167.603,103.821,-16.602
0.543,-0.008,-0.811,-169.800,121.399,-7.935
0.487,-0.057,-0.852,-168.884,128.784,-2.502
0.470,-0.017,-0.882,-161.194,128.662,3.174
0.454,-0.046,-0.910,-158.142,127.869,-0.732
0.418,-0.093,-0.955,-152.771,121.948,-6.470
0.390,-0.125,-1.057,-146.423,117.981,-8.972
0.374,-0.157,-1.138,-142.700,116.638,-5.798
0.369,-0.181,-1.215,-138.916,110.229,-4.456
0.373,-0.210,-1.321,-134.766,98.572,-7.690
0.403,-0.224,-1.400,-129.333,85.632,-12.085
0.454,-0.225,-1.462,-119.202,73.425,-17.761
0.498,-0.228,-1.497,-107.117,61.829,-22.095
0.545,-0.226,-1.524,-94.421,50.659,-23.865
0.577,-0.199,-1.543,-82.642,42.236,-22.766
0.626,-0.189,-1.575,-72.327,40.222,-19.470
0.653,-0.159,-1.589,-59.753,39.612,-14.038
0.661,-0.134,-1.589,-46.814,39.368,-6.897
0.649,-0.120,-1.541,-33.875,37.842,-1.526
0.613,-0.093,-1.448,-17.151,32.776,1.892
0.585,-0.074,-1.332,-3.418,28.442,3.479
0.566,-0.055,-1.218,4.272,25.879,3.296
0.556,-0.039,-1.113,9.155,22.400,2.197
0.559,-0.048,-1.025,10.193,17.273,0.732
0.570,-0.055,-0.943,9.583,11.963,-0.671
0.594,-0.056,-0.888,9.033,7.446,-2.197
0.608,-0.062,-0.857,7.202,4.333,-2.686
0.606,-0.065,-0.839,6.226,3.113,-2.014
0.597,-0.066,-0.831,7.507,2.319,-0.793
0.591,-0.058,-0.830,10.315,2.441,0.427
0.587,-0.052,-0.848,11.658,4.028,0.977
0.577,-0.041,-0.875,12.695,5.127,1.953
0.561,-0.023,-0.892,13.367,5.005,3.113
0.542,-0.012,-0.888,14.648,2.747,3.418
0.528,0.003,-0.872,15.015,-0.061,2.014
0.514,0.007,-0.853,14.038,-2.563,0.854
0.521,0.001,-0.852,12.146,-4.150,-0.732
0.535,-0.000,-0.871,9.766,-4.761,-1.648

-0.912,-0.891,1.943,268.066,-219.727,34.058
-1.427,-1.302,2.631,259.827,-190.613,36.743
-2.019,-1.892,3.648,237.732,-145.081,36.926
-2.218,-2.377,4.000,199.768,-80.261,36.682
-2.046,-2.289,4.000,120.056,-12.634,13.733
-0.910,-1.520,4.000,7.874,23.682,-22.705
-0.669,-1.182,4.000,-112.000,13.184,-47.363
-0.485,-0.953,2.781,-204.956,-0.671,-54.016
-0.244,-0.713,1.144,-207.397,6.287,-53.101
-0.015,-0.309,0.080,-173.035,34.546,-55.237
0.302,0.126,-0.392,-123.962,67.688,-46.265
0.592,0.527,-0.568,-75.195,90.698,-23.010
0.753,0.812,-0.497,-42.542,98.083,-2.319
0.788,0.962,-0.349,-26.306,95.337,13.306
0.738,1.005,-0.191,-20.264,87.097,20.935
0.651,0.982,-0.027,-20.325,75.256,21.301
0.546,0.883,0.158,-24.902,62.500,15.686
0.463,0.783,0.339,-29.419,51.392,5.859
0.411,0.666,0.478,-36.316,44.495,-3.174
0.370,0.535,0.656,-45.715,41.016,-8.362
0.353,0.413,0.747,-52.856,39.978,-10.071
0.325,0.296,0.869,-59.265,45.410,-9.521
0.323,0.213,0.973,-64.941,54.016,-7.629
0.322,0.143,1.035,-61.462,57.312,-5.310
0.323,0.097,1.099,-62.866,65.308,-3.723
0.315,0.061,1.128,-68.909,74.707,-2.808
0.329,0.049,1.102,-76.904,82.642,-3.174
0.352,0.052,1.071,-86.914,88.806,-4.272
0.372,0.055,1.031,-97.168,93.506,-7.263
0.407,0.069,0.984,-106.201,99.487,-9.949
0.427,0.087,0.931,-111.328,104.553,-13.733
0.445,0.109,0.886,-111.633,107.971,-17.517
0.461,0.150,0.831,-108.887,110.413,-20.203
0.475,0.187,0.802,-107.178,113.220,-21.729
0.480,0.219,0.764,-107.910,116.394,-23.193
0.491,0.250,0.737,-111.267,118.774,-25.696
0.502,0.272,0.671,-115.051,119.507,-29.175
0.515,0.276,0.599,-116.821,119.446,-31.738
0.550,0.289,0.541,-116.699,119.385,-31.860
0.559,0.318,0.479,-113.892,120.056,-30.884
0.569,0.335,0.444,-110.046,124.084,-27.771
0.580,0.321,0.423,-107.605,128.845,-23.010
0.572,0.324,0.369,-108.887,130.615,-20.569
0.582,0.351,0.309,-108.826,130.920,-20.264
0.579,0.371,0.236,-110.962,132.874,-18.372
0.560,0.372,0.182,-112.549,136.353,-15.137
0.541,0.394,0.145,-113.220,139.099,-14.282
0.526,0.398,0.130,-116.028,139.954,-16.296
0.558,0.402,0.098,-123.535,139.160,-19.958
0.591,0.381,0.028,-130.188,138.489,-22.339
0.638,0.370,-0.054,-131.409,140.930,-19.958
0.644,0.377,-0.099,-126.282,148.254,-14.893
0.654,0.387,-0.117,-120.972,159.119,-9.766
0.644,0.393,-0.125,-121.399,168.457,-5.859
0.621,0.385,-0.121,-128.967,172.729,-5.249
0.594,0.371,-0.135,-142.883,170.105,-7.812
0.583,0.353,-0.162,-160.583,162.170,-13.245
0.619,0.316,-0.242,-179.687,151.306,-20.325
0.674,0.308,-0.388,-194.397,144.287,-24.048
0.693,0.264,-0.547,-198.425,146.667,-21.057
0.687,0.236,-0.638,-190.308,156.738,-13.489
0.652,0.219,-0.683,-177.917,169.373,-6.775
0.620,0.206,-0.677,-169.800,176.147,-4.822
0.582,0.191,-0.656,-172.363,171.631,-7.385
0.576,0.167,-0.611,-185.669,157.593,-13.672
0.595,0.112,-0.615,-205.933,140.869,-23.010
0.634,0.072,-0.680,-221.069,128.967,-32.715
0.631,0.039,-0.723,-218.994,128.723,-34.424
0.602,0.024,-0.836,-213.867,138.672,-30.396
0.612,-0.007,-0.821,-210.083,156.616,-24.780
0.563,-0.029,-0.887,-187.683,153.809,-18.921
0.504,-0.059,-0.964,-164.551,147.339,-7.385
0.518,-0.049,-0.977,-158.020,143.494,-2.014
0.518,-0.062,-0.959,-155.273,131.409,-5.981
0.523,-0.083,-0.918,-150.330,111.450,-13.733
0.518,-0.118,-0.869,-148.376,92.529,-19.348
0.507,-0.129,-0.835,-147.888,79.468,-19.104
0.499,-0.128,-0.817,-149.658,78.735,-16.418
0.459,-0.161,-0.797,-149.719,88.074,-13.855
0.412,-0.213,-0.802,-146.484,103.333,-8.179
0.359,-0.236,-0.859,-139.099,118.591,-1.038
0.288,-0.279,-0.916,-128.845,128.967,4.822
0.243,-0.305,-0.966,-119.080,132.812,6.104
0.213,-0.349,-1.065,-117.676,129.883,2.380
0.224,-0.377,-1.186,-121.643,122.192,-1.892
0.244,-0.410,-1.357,-126.587,113.586,-3.662
0.285,-0.410,-1.534,-131.897,102.905,-4.089
0.355,-0.409,-1.705,-132.080,89.966,-4.578
0.466,-0.413,-1.852,-128.479,77.393,-5.554
0.522,-0.437,-1.958,-116.882,64.026,-4.578
0.561,-0.425,-2.046,-91.980,52.246,1.831
0.539,-0.341,-2.096,-55.725,44.250,10.498
0.485,-0.249,-2.038,-18.494,41.260,18.616
0.413,-0.158,-1.893,13.000,36.743,20.813
0.373,-0.111,-1.649,38.574,25.146,14.404
0.371,-0.137,-1.397,52.979,8.423,2.747
0.414,-0.157,-1.170,59.143,-7.690,-6.836
0.449,-0.149,-0.971,61.523,-17.944,-11.230
0.497,-0.178,-0.843,60.425,-21.606,-11.963
0.541,-0.193,-0.775,55.969,-18.982,-9.766
0.570,-0.197,-0.771,49.255,-13.184,-5.066
0.569,-0.202,-0.808,42.725,-6.287,1.587
0.543,-0.192,-0.867,38.391,-0.061,9.094
